1.028799 -0.173386 0.000000	-0.882124 0.304983 0.000000	-0.146675 -0.131597 0.000000	
1.028985 -0.173097 0.000000	-0.881701 0.305205 0.000000	-0.147284 -0.132108 0.000000	
1.029171 -0.172807 0.000000	-0.881278 0.305426 0.000000	-0.147894 -0.132619 0.000000	
1.029357 -0.172518 0.000000	-0.880854 0.305648 0.000000	-0.148503 -0.133130 0.000000	
1.029542 -0.172229 0.000000	-0.880429 0.305869 0.000000	-0.149113 -0.133640 0.000000	
1.029727 -0.171939 0.000000	-0.880004 0.306090 0.000000	-0.149723 -0.134150 0.000000	
1.029912 -0.171650 0.000000	-0.879579 0.306310 0.000000	-0.150333 -0.134660 0.000000	
1.030096 -0.171360 0.000000	-0.879153 0.306530 0.000000	-0.150944 -0.135170 0.000000	
1.030280 -0.171071 0.000000	-0.878726 0.306750 0.000000	-0.151554 -0.135679 0.000000	
1.030464 -0.170781 0.000000	-0.878298 0.306970 0.000000	-0.152165 -0.136188 0.000000	
1.030647 -0.170492 0.000000	-0.877871 0.307189 0.000000	-0.152776 -0.136697 0.000000	
1.030830 -0.170202 0.000000	-0.877442 0.307408 0.000000	-0.153387 -0.137205 0.000000	
1.031012 -0.169912 0.000000	-0.877013 0.307626 0.000000	-0.153999 -0.137714 0.000000	
1.031194 -0.169623 0.000000	-0.876584 0.307844 0.000000	-0.154610 -0.138222 0.000000	
1.031376 -0.169333 0.000000	-0.876154 0.308062 0.000000	-0.155222 -0.138729 0.000000	
1.031557 -0.169043 0.000000	-0.875723 0.308280 0.000000	-0.155834 -0.139237 0.000000	
1.031738 -0.168754 0.000000	-0.875292 0.308497 0.000000	-0.156446 -0.139744 0.000000	
1.031918 -0.168464 0.000000	-0.874860 0.308714 0.000000	-0.157058 -0.140251 0.000000	
1.032098 -0.168174 0.000000	-0.874427 0.308931 0.000000	-0.157671 -0.140757 0.000000	
1.032278 -0.167884 0.000000	-0.873994 0.309148 0.000000	-0.158283 -0.141263 0.000000	
1.032457 -0.167594 0.000000	-0.873561 0.309364 0.000000	-0.158896 -0.141769 0.000000	
1.032636 -0.167304 0.000000	-0.873127 0.309579 0.000000	-0.159509 -0.142275 0.000000	
1.032815 -0.167014 0.000000	-0.872692 0.309795 0.000000	-0.160123 -0.142780 0.000000	
1.032993 -0.166724 0.000000	-0.872257 0.310010 0.000000	-0.160736 -0.143286 0.000000	
1.033171 -0.166434 0.000000	-0.871821 0.310225 0.000000	-0.161350 -0.143790 0.000000	
1.033348 -0.166144 0.000000	-0.871385 0.310439 0.000000	-0.161963 -0.144295 0.000000	
1.033525 -0.165854 0.000000	-0.870948 0.310653 0.000000	-0.162577 -0.144799 0.000000	
1.033702 -0.165564 0.000000	-0.870510 0.310867 0.000000	-0.163192 -0.145303 0.000000	
1.033878 -0.165274 0.000000	-0.870072 0.311081 0.000000	-0.163806 -0.145807 0.000000	
1.034054 -0.164984 0.000000	-0.869634 0.311294 0.000000	-0.164420 -0.146310 0.000000	
1.034230 -0.164694 0.000000	-0.869194 0.311507 0.000000	-0.165035 -0.146813 0.000000	
1.034405 -0.164403 0.000000	-0.868755 0.311719 0.000000	-0.165650 -0.147316 0.000000	
1.034580 -0.164113 0.000000	-0.868314 0.311931 0.000000	-0.166265 -0.147818 0.000000	
